Pelvis Tilt mean;Pelvis Tilt SD;Pelvis Obliquity mean;pelvis Obliquity SD;Pelvis Rotation Mean;Pelvis Rotation SD;Hip Sagittal mean;Hip Sagittal SD;Hip Frontal mean;Hip Frontal SD;Hip Longitudinal mean;Hip Longitudinal SD;Knee Sagittal mean;Knee Sagittal SD;Knee Frontal mean;Knee Frontal SD;Knee Longitudinal mean;Knee Longitudinal SD;Ankle Sagittal mean;Ankle Sagittal SD;Ankle Frontal mean;Ankle Frontal SD;Ankle Longitudinal mean;Ankle Longitudinal SD
15,88;5,42;1,438;2,164;3,086;3,839;34,799;7,094;1,908;3,81;-3,342;4,726;1,973;6,115;-2,709;3,034;0,918;9,023;1,267;4,078;-13,224;12,928;-8,329;6,234
15,81819934;5,405534966;1,578057965;2,161153051;3,189168427;3,824604047;34,46926656;7,166736688;2,160395257;3,766735173;-2,275264961;4,441077284;2,229361683;6,122391197;-2,730110191;3,073366843;1,185196586;8,920592635;0,879943867;4,038711502;-14,34187175;12,60002817;-7,94748684;6,239760347
15,751;5,394;1,744;2,157;3,244;3,803;34,161;7,248;2,455;3,72;-1,153;4,409;2,86;6,144;-2,705;3,144;1,847;8,783;0,485;4,024;-15,826;12,307;-7,463;6,255
15,67455066;5,384715034;1,937442035;2,155596949;3,252831573;3,776895953;33,85423344;7,335763312;2,792104743;3,669264827;0,039014961;4,605422716;3,777638317;6,177358803;-2,624889809;3,245383157;2,814303414;8,634907365;0,102556133;4,035788498;-17,59162825;12,06722183;-6,88401316;6,278739653
15,585;5,377;2,16;2,161;3,218;3,749;33,529;7,428;3,172;3,614;1,315;5,006;4,895;6,22;-2,481;3,377;3,998;8,501;-0,247;4,076;-19,554;11,899;-6,219;6,31
15,47997303;5,370604897;2,411298895;2,176459154;3,144130282;3,721812142;33,16467467;7,524585063;3,592060772;3,555330518;2,682580118;5,569856851;6,12346005;6,27467359;-2,268455572;3,53510053;5,314714759;8,405277906;-0,540043398;4,143009506;-21,63574026;11,80545952;-5,48008552;6,347281041
15,363;5,367;2,683;2,202;3,045;3,697;32,738;7,633;4,038;3,501;4,123;6,19;7,369;6,365;-1,998;3,703;6,704;8,369;-0,74;4,221;-23,789;11,729;-4,694;6,387
15,23943223;5,367740376;2,965612385;2,236566437;2,935522299;3,67535548;32,23219287;7,759146437;4,494277169;3,458413099;5,590664567;6,76002488;8,549021482;6,511071838;-1,685787903;3,862464725;8,106837549;8,40848101;-0,809382541;4,29292348;-25,9514107;11,62119008;-3,894644761;6,425136184
15,116;5,373;3,253;2,278;2,826;3,655;31,659;7,895;4,952;3,427;6,959;7,242;9,632;6,698;-1,354;4,002;9,447;8,523;-0,72;4,351;-27,973;11,531;-3,13;6,458
14,99904805;5,382183598;3,538501565;2,3230251;2,726405521;3,634140937;31,03355385;8,029079189;5,403080551;3,404017086;8,106636614;7,623418628;10,59770402;6,903539058;-1,025267817;4,114665572;10,64018505;8,701298054;-0,452426438;4,389671576;-29,70124192;11,51565517;-2,448335437;6,482049224
14,892;5,393;3,81;2,365;2,65;3,614;30,356;8,15;5,836;3,386;9,014;7,925;11,42;7,111;-0,718;4,205;11,587;8,907;-0,013;4,403;-31,061;11,568;-1,885;6,494
14,79850056;5,403275232;4,054381354;2,397833164;2,607980615;3,596080772;29,62046672;8,249786806;6,237275627;3,369768558;9,702413976;8,171675606;12,06903743;7,310896929;-0,44826583;4,278497989;12,21179727;9,103451774;0,575213293;4,392015217;-32,02537161;11,66656423;-1,462263492;6,49279192
14,726;5,413;4,26;2,421;2,6;3,58;28,812;8,334;6,589;3,354;10,255;8,372;12,506;7,517;-0,227;4,333;12,549;9,278;1,248;4,386;-32,683;11,797;-1,163;6,486
14,68082469;5,422215473;4,416723018;2,435517242;2,621422018;3,564285975;27,92245426;8,407023586;6,876816941;3,337658684;10,73383248;8,521753948;12,70814625;7,735998225;-0,063793863;4,364342472;12,66387589;9,41789485;1,939573267;4,411517557;-33,12489664;11,94508791;-0,963985596;6,482158094
14,661;5,429;4,519;2,443;2,662;3,545;26,98;8,455;7,105;3,319;11,055;8,582;12,726;7,923;0,032;4,368;12,635;9,486;2,619;4,456;-33,336;12,09;-0,857;6,485
14,66245066;5,431487874;4,563851573;2,445472866;2,710581314;3,518150327;26,01596625;8,46249385;7,280706609;3,296971707;11,1345061;8,527183602;12,61962758;8,030360172;0,056191282;4,344132124;12,52957417;9,457968826;3,267368639;4,498039556;-33,29191683;12,21283411;-0,834419122;6,495950703
14,681;5,43;4,554;2,446;2,758;3,482;25,038;8,426;7,404;3,274;11,034;8,42;12,414;8,051;0,025;4,312;12,356;9,385;3,879;4,52;-33,037;12,309;-0,876;6,512
14,71237268;5,42520803;4,492370688;2,447466295;2,795002726;3,435987716;24,04605574;8,349001013;7,473731622;3,253204489;10,85076811;8,333886643;12,12309344;7,992811086;-0,041096266;4,289504033;12,10707743;9,318854845;4,450952178;4,512574218;-32,63256105;12,37632563;-0,961087914;6,529164094
14,752;5,417;4,377;2,451;2,81;3,382;23,033;8,251;7,491;3,237;10,679;8,297;11,752;7,883;-0,125;4,27;11,772;9,238;4,978;4,496;-32,139;12,408;-1,08;6,544
14,79643363;5,405680004;4,206790674;2,456411955;2,793782781;3,32277381;21,99481078;8,151377097;7,458366903;3,226710339;10,58442144;8,317769827;11,30874867;7,749145484;-0,215556219;4,242351743;11,35211612;9,119986795;5,456447648;4,49103857;-31,60733897;12,40248838;-1,225479223;6,554392922
14,847;5,394;3,989;2,46;2,749;3,262;20,947;8,053;7,382;3,22;10,522;8,371;10,822;7,601;-0,322;4,202;10,901;9,012;5,891;4,491;-31,052;12,384;-1,389;6,563
14,90539279;5,384446952;3,732466615;2,458635887;2,679866151;3,203542043;19,90682615;7,955365598;7,268925767;3,213579157;10,42892112;8,42853405;10,3204119;7,443356979;-0,455053858;4,147463996;10,47320808;8,962572977;6,288257231;4,485646501;-30,47408307;12,38122086;-1,563870196;6,573514217
14,97;5,376;3,444;2,455;2,585;3,151;18,879;7,861;7,126;3,204;10,282;8,484;9,812;7,279;-0,611;4,083;10,075;8,956;6,654;4,478;-29,858;12,415;-1,752;6,589
15,03874522;5,367282189;3,129967864;2,451794499;2,463252616;3,107308018;17,86438461;7,772410509;6,959055029;3,189098034;10,07801906;8,535968973;9,298853748;7,111926599;-0,781228348;4,012917273;9,700051568;8,966971298;6,993023429;4,472875426;-29,19457876;12,49825317;-1,955789994;6,611550209
15,111;5,359;2,797;2,446;2,32;3,073;16,861;7,689;6,77;3,172;9,854;8,581;8,78;6,953;-0,952;3,936;9,34;8,996;7,307;4,469;-28,517;12,62;-2,171;6,64
15,18687635;5,352049293;2,452036927;2,434311116;2,161748384;3,047475885;15,8676354;7,609617365;6,560854118;3,155778707;9,646252621;8,614090058;8,256048113;6,812311624;-1,111282751;3,851616912;8,98821065;9,047666833;7,597774054;4,464476794;-27,8604769;12,76189145;-2,392594829;6,672159949
15,268;5,346;2,103;2,418;1,993;3,028;14,889;7,534;6,338;3,138;9,448;8,626;7,737;6,69;-1,259;3,767;8,647;9,117;7,871;4,461;-27,226;12,9;-2,619;6,705
15,35537438;5,340020639;1,757509426;2,398836035;1,816628847;3,012788442;13,92894878;7,461870031;6,108028501;3,115912137;9,251720453;8,613170796;7,2323288;6,582701904;-1,39626565;3,68986508;8,32048083;9,196361372;8,133130356;4,460342399;-26,61338862;13,01555601;-2,848955691;6,736184997
15,446;5,333;1,421;2,376;1,631;3,006;12,982;7,392;5,874;3,091;9,09;8,599;6,74;6,483;-1,517;3,622;8,011;9,277;8,39;4,461;-26,052;13,116;-3,079;6,767
15,53687613;5,324243153;1,098300369;2,348719743;1,434486226;3,011745347;12,04206947;7,323277513;5,638781879;3,065822745;8,997865568;8,60610176;6,256761688;6,384630759;-1,61515465;3,563422766;7,715866028;9,34913768;8,645954522;4,46215361;-25,5682186;13,2100095;-3,305832408;6,799100063
15,629;5,315;0,794;2,319;1,23;3,028;11,11;7,256;5,408;3,043;8,98;8,627;5,786;6,29;-1,692;3,513;7,414;9,4;8,9;4,469;-25,147;13,285;-3,529;6,832
15,72387112;5,306506751;0,512914098;2,289159993;1,020176247;3,05198017;10,18789834;7,190519918;5,187468985;3,024171884;9,031567275;8,647547166;5,332249449;6,202400061;-1,750740752;3,469943854;7,090055058;9,422837907;9,151051555;4,487168161;-24,77036198;13,330781;-3,748339679;6,864914752
15,821;5,298;0,261;2,26;0,802;3,084;9,276;7,126;4,981;3,007;9,14;8,657;4,898;6,12;-1,795;3,436;6,77;9,438;9,403;4,518;-24,45;13,368;-3,962;6,898
15,9193894;5,288979843;0,041793241;2,232015286;0,573058787;3,124708975;8,374087174;7,061642815;4,791717183;2,98923972;9,289615331;8,649834578;4,485490515;6,039768998;-1,827882343;3,412301819;6,480913741;9,462385691;9,659339258;4,560298747;-24,19595847;13,4194915;-4,168308877;6,931490928
16,018;5,282;-0,152;2,206;0,339;3,173;7,482;6,998;4,622;2,973;9,46;8,638;4,098;5,959;-1,85;3,395;6,213;9,472;9,917;4,607;-23,982;13,486;-4,368;6,965
16,11557128;5,279323878;-0,32746206;2,182653865;0,104963606;3,227808932;6,599752967;6,935783822;4,473287284;2,960744238;9,631721401;8,633614524;3,739663489;5,876273947;-1,862229877;3,380598872;5,95316498;9,442619328;10,17246641;4,65151185;-23,77855415;13,56100301;-4,562049813;6,998121536
16,21;5,279;-0,48;2,162;-0,134;3,29;5,728;6,875;4,344;2,952;9,794;8,632;3,417;5,795;-1,869;3,372;5,712;9,39;10,427;4,695;-23,579;13,631;-4,75;7,031
16,29832549;5,278849645;-0,604320001;2,144244255;-0,384663211;3,359680297;4,866525959;6,815721896;4,231883681;2,945658329;9,938874065;8,625082328;3,136230527;5,719885214;-1,874073151;3,372177694;5,50130134;9,335636997;10,68179508;4,740278854;-23,38069995;13,68324646;-4,931241869;7,063897929
16,375;5,28;-0,704;2,131;-0,651;3,432;4,011;6,759;4,135;2,941;10,061;8,608;2,9;5,656;-1,875;3,378;5,314;9,284;10,933;4,789;-23,174;13,715;-5,106;7,097
